Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2020,1.409,1.362,1.400,1.571,1.571,1.747,1.712,1.609,1.542,1.580,1.639,1.621
2021,1.595,1.583,1.543,1.515,1.486,1.474,1.435,1.472,1.504,1.523,1.583,1.606
2022,1.622,1.632,1.724,1.794,1.824,1.826,1.880,1.879,1.891,1.863,1.843,1.830
2023,1.855,1.894,1.868,1.873,1.920,1.953,1.891,1.958,1.901,1.926,1.976,1.955
2024,1.987,1.951,1.991,1.953,2.013,2.007,1.988,1.988,1.979,1.987,2.076,2.061
2025,2.061,2.051,2.064
