Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2020,3.886,3.865,3.881,4.052,4.461,4.737,4.264,4.177,4.076,4.008,4.027,3.951
2021,3.965,3.987,4.042,4.096,4.101,4.357,4.388,4.468,4.504,4.719,4.716,4.604
2022,4.554,4.630,4.757,4.916,4.794,4.889,4.893,4.937,4.862,4.836,4.853,4.800
2023,4.791,4.778,4.813,4.790,4.960,5.028,5.102,5.076,5.109,5.226,5.353,5.210
2024,5.030,5.132,5.132,5.236,5.148,5.472,5.497,5.577,5.670,5.588,5.628,5.605
2025,5.545,5.625,5.790
